Run 1.3T,/////////////,Polar L,/////////////,Polar R,/////////////
545.8984,0.40553,545.8984,0.40359,545.8984,0.40385
545.8986,0.40548,545.8986,0.40354,545.8986,0.40385
545.8988,0.40548,545.8988,0.40358,545.8988,0.40377
545.899,0.40553,545.899,0.40366,545.899,0.40365
545.8992,0.40537,545.8992,0.40352,545.8992,0.40382
545.8994,0.40575,545.8994,0.40358,545.8994,0.40388
545.8996,0.40593,545.8996,0.40358,545.8996,0.40391
545.8998,0.40555,545.8998,0.40349,545.8998,0.40394
545.9,0.40579,545.9,0.40358,545.9,0.40395
545.9002,0.40576,545.9002,0.40361,545.9002,0.4039
545.9004,0.40606,545.9004,0.40358,545.9004,0.4041
545.9006,0.40608,545.9006,0.40367,545.9006,0.40415
545.9008,0.4058,545.9008,0.4038,545.9008,0.4042
545.901,0.40582,545.901,0.40358,545.901,0.40402
545.9012,0.40604,545.9012,0.40368,545.9012,0.40412
545.9014,0.40624,545.9014,0.40373,545.9014,0.40396
545.9016,0.40623,545.9016,0.40369,545.9016,0.40423
545.9018,0.40637,545.9018,0.40371,545.9018,0.40411
545.902,0.40647,545.902,0.40359,545.902,0.40431
545.9022,0.40616,545.9022,0.40371,545.9022,0.40415
545.9024,0.40633,545.9024,0.40369,545.9024,0.40424
545.9026,0.40683,545.9026,0.40358,545.9026,0.40418
545.9028,0.40649,545.9028,0.4037,545.9028,0.40436
545.903,0.40715,545.903,0.40368,545.903,0.4043
545.9032,0.40697,545.9032,0.40355,545.9032,0.4042
545.9034,0.40708,545.9034,0.40381,545.9034,0.40433
545.9036,0.4071,545.9036,0.40358,545.9036,0.40419
545.9038,0.40721,545.9038,0.40369,545.9038,0.40427
545.904,0.40733,545.904,0.40368,545.904,0.40443
545.9042,0.40778,545.9042,0.40373,545.9042,0.40437
545.9044,0.40767,545.9044,0.40378,545.9044,0.40422
545.9046,0.40763,545.9046,0.40362,545.9046,0.40435
545.9048,0.40794,545.9048,0.40375,545.9048,0.40433
545.905,0.408,545.905,0.40369,545.905,0.40433
545.9052,0.40824,545.9052,0.40374,545.9052,0.40439
545.9054,0.40851,545.9054,0.40367,545.9054,0.40452
545.9056,0.40775,545.9056,0.40367,545.9056,0.40437
545.9058,0.40815,545.9058,0.40379,545.9058,0.40449
545.906,0.40853,545.906,0.40367,545.906,0.40469
545.9062,0.40834,545.9062,0.40375,545.9062,0.40462
545.9064,0.40874,545.9064,0.40377,545.9064,0.40456
545.9066,0.4085,545.9066,0.40378,545.9066,0.40472
545.9068,0.409,545.9068,0.40381,545.9068,0.40458
545.907,0.40862,545.907,0.40375,545.907,0.40454
545.9072,0.40837,545.9072,0.40387,545.9072,0.40464
545.9074,0.40872,545.9074,0.40388,545.9074,0.40487
545.9076,0.40889,545.9076,0.4039,545.9076,0.40463
545.9078,0.4089,545.9078,0.40402,545.9078,0.40463
545.908,0.40883,545.908,0.40376,545.908,0.40496
545.9082,0.40865,545.9082,0.40375,545.9082,0.40503
545.9084,0.40879,545.9084,0.40404,545.9084,0.40542
545.9086,0.40858,545.9086,0.40386,545.9086,0.40511
545.9088,0.40877,545.9088,0.40393,545.9088,0.40534
545.909,0.40884,545.909,0.40389,545.909,0.40521
545.9092,0.40883,545.9092,0.40386,545.9092,0.40533
545.9094,0.40886,545.9094,0.40406,545.9094,0.40545
545.9096,0.4091,545.9096,0.40399,545.9096,0.40552
545.9098,0.40889,545.9098,0.40402,545.9098,0.40569
545.91,0.40909,545.91,0.40409,545.91,0.40563
545.9102,0.40888,545.9102,0.40398,545.9102,0.40548
545.9104,0.40928,545.9104,0.40385,545.9104,0.40569
545.9106,0.40932,545.9106,0.40402,545.9106,0.40582
545.9108,0.40931,545.9108,0.404,545.9108,0.40602
545.911,0.40946,545.911,0.40415,545.911,0.40596
545.9112,0.40957,545.9112,0.40407,545.9112,0.40555
545.9114,0.4101,545.9114,0.4041,545.9114,0.40587
545.9116,0.41012,545.9116,0.40412,545.9116,0.40585
545.9118,0.41042,545.9118,0.40434,545.9118,0.40592
545.912,0.41081,545.912,0.40435,545.912,0.40602
545.9122,0.41113,545.9122,0.40415,545.9122,0.40611
545.9124,0.41116,545.9124,0.40402,545.9124,0.40596
545.9126,0.41167,545.9126,0.4043,545.9126,0.40591
545.9128,0.41142,545.9128,0.40435,545.9128,0.40586
545.913,0.4122,545.913,0.40417,545.913,0.40608
545.9132,0.41196,545.9132,0.40429,545.9132,0.40605
545.9134,0.41282,545.9134,0.40424,545.9134,0.406
545.9136,0.41228,545.9136,0.40438,545.9136,0.40591
545.9138,0.41281,545.9138,0.40435,545.9138,0.4059
